NAME OF CONTRIBUTOR,CITY,STATE/ZIP,ID NUMBER,EMPLOYER,OCCUPATION,AMOUNT,TRANSACTION TYPE,TYPE,TRANS. DATE,FILED DATE,TRANS #
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $20,000.00",LATE CONTRIBUTION MADE,INITIAL,06/17/2025,06/17/2025,3052979-P2-278810
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $17,267.00",LATE CONTRIBUTION MADE,INITIAL,06/04/2025,06/04/2025,3050916-P2-278639
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $17,267.00",LATE CONTRIBUTION MADE,INITIAL,05/30/2025,06/02/2025,3050129-P2-278613
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $5,000.00",LATE CONTRIBUTION MADE,INITIAL,05/27/2025,05/28/2025,3049521-P2-278572
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $11,385.00",LATE CONTRIBUTION MADE,INITIAL,05/27/2025,05/28/2025,3049521-P2-278570
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $5,265.06",LATE CONTRIBUTION MADE,INITIAL,05/20/2025,05/22/2025,3048753-P2-278518
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $1,580.91",LATE CONTRIBUTION MADE,INITIAL,05/14/2025,05/15/2025,3047280-P2-278453
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $1,494.50",LATE CONTRIBUTION MADE,INITIAL,05/14/2025,05/15/2025,3047280-P2-278451
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $35,250.00",LATE CONTRIBUTION MADE,INITIAL,05/14/2025,05/15/2025,3047280-P2-278449
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $4,493.18",LATE CONTRIBUTION MADE,INITIAL,05/12/2025,05/13/2025,3046773-P2-278441
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $16,658.00",LATE CONTRIBUTION MADE,INITIAL,03/31/2025,04/01/2025,3030615-P2-278110
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $1,303.66",LATE CONTRIBUTION MADE,INITIAL,03/27/2025,03/28/2025,3030462-P2-278082
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $16,903.00",LATE CONTRIBUTION MADE,INITIAL,03/26/2025,03/27/2025,3030305-P2-278073
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $1,706.00",LATE CONTRIBUTION MADE,INITIAL,03/24/2025,03/25/2025,3030195-P2-278068
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $11,385.00",LATE CONTRIBUTION MADE,INITIAL,03/24/2025,03/25/2025,3030126-P2-278062
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $15,250.00",LATE CONTRIBUTION MADE,INITIAL,03/21/2025,03/24/2025,3030042-P2-278008
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $1,334.00",LATE CONTRIBUTION MADE,INITIAL,03/20/2025,03/21/2025,3029903-P2-278011
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $4,000.00",LATE CONTRIBUTION MADE,INITIAL,03/17/2025,03/19/2025,3029638-P2-277878
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $2,700.00",LATE CONTRIBUTION MADE,INITIAL,03/11/2025,03/12/2025,3028572-P2-277871
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $5,525.62",LATE CONTRIBUTION MADE,INITIAL,03/11/2025,03/12/2025,3028572-P2-277869
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $4,807.00",LATE CONTRIBUTION MADE,INITIAL,03/11/2025,03/12/2025,3028572-P2-277865
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $6,578.00",LATE CONTRIBUTION MADE,INITIAL,03/06/2025,03/06/2025,3026981-P2-277840
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $4,493.18",LATE CONTRIBUTION MADE,INITIAL,02/27/2025,03/03/2025,3025837-P2-277814
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"           $5,000.00",LATE CONTRIBUTION MADE,INITIAL,02/26/2025,02/27/2025,3025450-P2-277777
MCCANN FOR SUPERVISOR 2025,SAN DIEGO,CA / 92154,1477976,,,"          $20,000.00",LATE CONTRIBUTION MADE,INITIAL,02/22/2025,02/24/2025,3024216-P2-277773
MCCANN FOR SUPERVISOR,SAN DIEGO,CA / 92154,1477976,,,"           $1,000.00",LATE CONTRIBUTION MADE,INITIAL,02/11/2025,02/12/2025,3020380-P2-277636
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"          $12,074.00",LATE CONTRIBUTION MADE,AMENDMENT #1,10/30/2024,02/20/2025,2983077-P2-277053
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"          $22,057.01",LATE CONTRIBUTION MADE,AMENDMENT #1,10/29/2024,02/20/2025,2978122-P2-276840
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"           $2,237.82",LATE CONTRIBUTION MADE,AMENDMENT #1,10/16/2024,02/20/2025,2972504-P2-276528
JOEL ANDERSON-REPUBLICAN CENTRAL COMMITTEE 2024,LA MESA,CA / 91942,1441908,,,"           $2,237.82",LATE CONTRIBUTION MADE,AMENDMENT #1,10/16/2024,02/20/2025,2972504-P2-276527
JOEL ANDERSON-REPUBLICAN CENTRAL COMMITTEE 2024,LA MESA,CA / 91942,1441908,,,             $841.27,LATE CONTRIBUTION MADE,AMENDMENT #1,10/14/2024,02/20/2025,2972504-P2-276453
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"           $2,280.90",LATE CONTRIBUTION MADE,AMENDMENT #1,10/23/2024,02/20/2025,2972388-P2-276719
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"          $35,239.40",LATE CONTRIBUTION MADE,AMENDMENT #1,10/23/2024,02/20/2025,2972388-P2-276717
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,             $741.28,LATE CONTRIBUTION MADE,AMENDMENT #1,10/14/2024,02/20/2025,2972335-P2-276454
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"          $34,550.49",LATE CONTRIBUTION MADE,AMENDMENT #1,10/16/2024,02/20/2025,2972335-P2-276402
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"          $34,550.49",LATE CONTRIBUTION MADE,AMENDMENT #1,10/16/2024,02/20/2025,2972335-P2-276377
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"          $34,550.49",LATE CONTRIBUTION MADE,AMENDMENT #1,10/07/2024,02/20/2025,2972327-P2-276234
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"           $3,000.00",LATE CONTRIBUTION MADE,AMENDMENT #1,09/26/2024,02/20/2025,2972321-P2-276105
FAULCONER FOR SUPERVISOR 2024,IMPERIAL BEACH,CA / 91932,1461674,,,"          $10,897.21",LATE CONTRIBUTION MADE,AMENDMENT #1,09/25/2024,02/20/2025,2972238-P2-276091
